Metabolite,F_statistic,p_value,p_adjusted,Significant,VIP_Score
5-Hydroxymethylfurfuryl_alcohol,55.12486092968108,7.509211884373751e-10,7.292844762281626e-09,True,1.7969594855435977
N2-Succinyl-L-arginine,53.38263557665844,9.979699573590508e-10,9.530613092778935e-09,True,1.5527066572339043
N-Acetylmannosamine,53.02411823669422,1.0591993113852362e-09,9.949527957766236e-09,True,1.8022475468033488
Dihydrothymine,51.64334531003101,1.3367097314903026e-09,1.2157693272126085e-08,True,1.6848948952241918
Rivastigmine,51.69047729956081,1.32601512450324e-09,1.2157693272126085e-08,True,0.8748629922960752
Dhurrin,49.566737318872,1.9168672305149924e-09,1.7161951923204542e-08,True,1.7416907915865627
Anhydroglycinol,49.109818325059294,2.0787834319934713e-09,1.832527548511168e-08,True,1.7339085272876096
trans-Cinnamoyl_beta-D-glucoside,48.99896240169211,2.1202969979745933e-09,1.8355004895944722e-08,True,1.0201645615460901
Loratadine,48.930937151147795,2.1462222129638677e-09,1.8355004895944722e-08,True,1.7813524428356526
L-2-Amino-6-oxoheptanedioate,47.24313359041483,2.9155760360679797e-09,2.4568015715690473e-08,True,1.7245388654303457
Ketoprofen,46.277098158069,3.4893992471238998e-09,2.897718505220282e-08,True,1.4664512096010691
Riboflavin,44.89863391201605,4.534936158166697e-09,3.712169169470739e-08,True,1.2999294064811224
"13,14-Dihydro-15-keto-PGE2",44.196936035387424,5.196081190507283e-09,4.193457073465737e-08,True,1.5735372249653057
Maltol,41.90627634910146,8.211307883477162e-09,6.534832523933908e-08,True,1.4614089048945413
Tryptophan,40.02530401615409,1.2152984330058643e-08,9.539260302909044e-08,True,1.6131137855453128
(R)-Pantolactone,39.48895257355475,1.362957079224619e-08,1.0553708194536577e-07,True,1.2279256772414935
Pipecolic_acid,38.99354097817866,1.5170241676696068e-08,1.1590064640995796e-07,True,1.6761593188845674
D-Lyxose,38.36715465078272,1.739883744870232e-08,1.3117807708034775e-07,True,1.6700284792944793
10-Formyldihydrofolate,38.21546244248987,1.799117317836898e-08,1.338823666390315e-07,True,0.6849513490509875
"(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate",38.12230610099014,1.8365907759825235e-08,1.349187839279469e-07,True,1.6226112816092868
beta-Hydroxyarginine,37.14556472267021,2.2856525984890248e-08,1.637098673667764e-07,True,1.6971928342268663
L-Arginine,37.18786063998494,2.263879206964749e-08,1.637098673667764e-07,True,1.7607359459034682
Biochanin_A,36.56075513667376,2.6115486209950432e-08,1.8474288392964934e-07,True,1.5671713809857677
Aflatoxin_B1,36.3642917379507,2.7322435737693697e-08,1.9092384972803035e-07,True,1.4791511090018792
2-Methoxy-4-vinylphenol,35.80792191743583,3.108641494116899e-08,2.1460862362999796e-07,True,1.3317570358980848
threo-3-Hydroxy-D-aspartate,34.130854253293364,4.634818464574687e-08,3.1616083097634474e-07,True,1.6909272279825158
O-Acetylcarnitine,33.21914530397843,5.7985261744426056e-08,3.9088888211242504e-07,True,1.7460556892078556
25-Hydroxycholesterol,32.52445097081852,6.901351493787443e-08,4.598226053418843e-07,True,0.18573631963568002
L-threo-3-Methylaspartate,31.55191569634864,8.852191603645298e-08,5.830236538952593e-07,True,0.9540473923867799
Pseudouridine,30.90996842890701,1.0469278534104712e-07,6.816927954593181e-07,True,0.36628704423803465
Methyl_jasmonate,30.419879294348824,1.1922812365744422e-07,7.676147736597252e-07,True,1.585696636086171
Tryptophanamide,30.020871255008295,1.3270724915894732e-07,8.44902819645298e-07,True,1.2272450271233548
Saccharopine,29.524420387164636,1.518704293766988e-07,9.562830333280044e-07,True,1.71626681504329
5'-Oxoinosine,28.433581688251788,2.0560068273032165e-07,1.2805346870051555e-06,True,0.8535048871319949
Nopaline,27.937145903979726,2.367200950220813e-07,1.4585012306199202e-06,True,0.6201494725197932
L-Lysine,27.81812524493091,2.4492841941860484e-07,1.4930211098602189e-06,True,0.23586894760035276
"(2R,5S)-2,5-Diaminohexanoate",27.647856057063798,2.572204790206658e-07,1.5514456260930686e-06,True,1.2305129345988723
Nornicotine,27.21454410759346,2.916747171190225e-07,1.7409334678041656e-06,True,1.680972015666355
GMP,26.974273352461655,3.129451939744507e-07,1.8486350118284565e-06,True,1.6971375261181707
L-Dopa,26.22806896390857,3.906601935866426e-07,2.2841662339300632e-06,True,1.1302111948079447
Pelargonic_acid,25.897310597504205,4.3170735898455726e-07,2.498669865637892e-06,True,1.483517165163469
Tyramine,25.503952439665255,4.868116776778825e-07,2.789430913094267e-06,True,1.6608021205935508
Cyclopeptine,25.386252915079556,5.047703723025781e-07,2.863697260686903e-06,True,1.2845020813926362
D-(+)-Glucose,24.78632549947943,6.083886175610763e-07,3.4177125280636935e-06,True,1.5693642518323434
Benzamide,24.612947332056365,6.425383937490881e-07,3.574509705031335e-06,True,1.2730951993294533
4-Guanidinobutanoic_acid,24.191654194807178,7.346416277014225e-07,4.047592814162645e-06,True,1.6689953194412304
Aspartame,23.611342350909563,8.861443260452882e-07,4.835816179275716e-06,True,1.428963410401628
N-Acetyl-L-2-amino-6-oxopimelate,22.94103901342397,1.1053368824074527e-06,5.975075788862928e-06,True,0.3457146038065249
gamma-Glutamylalanine,22.781309987939924,1.165960518226157e-06,6.2438820275101686e-06,True,1.6542508630507604
Thyrotropin_releasing_hormone,22.73589058332364,1.1838599959358436e-06,6.281034978437392e-06,True,1.631754542882985
Carnosine,22.25254445542037,1.3942521235762173e-06,7.329417126689656e-06,True,1.6829206523276368
Benzoate,22.148915267419103,1.4445226455630482e-06,7.5246497809784235e-06,True,1.3504341805873616
Fluconazole,22.029568293966825,1.5049016022415802e-06,7.768546108868697e-06,True,1.2205668072547349
Undecanoic_acid,21.896561490847713,1.575480864992217e-06,8.060272639647682e-06,True,1.4963182259866263
Dioxacarb,21.738136224956,1.6643372500015282e-06,8.439515435848457e-06,True,1.3147515133592718
Pterin,21.65234489105426,1.7147447048520635e-06,8.612934938332496e-06,True,1.3712002844440594
N-Acetyllactosamine,21.629249893215697,1.7285995076932582e-06,8.612934938332496e-06,True,0.2411516705526818
Sebacic_acid,21.593668999386576,1.7501861804820243e-06,8.64531621910517e-06,True,1.6183235735271002
6-Methoxymellein,21.473321660296104,1.8254260326564075e-06,8.939906980445483e-06,True,1.301942334005662
Glutarate_semialdehyde,21.168114231048808,2.0326837160970736e-06,9.870574316301891e-06,True,1.582139669362767
Tyrosol,20.948129210929526,2.1980966738789672e-06,1.058411255573654e-05,True,1.53141600749992
Benzaldehyde,20.68757416043161,2.413433178690585e-06,1.1524143428247544e-05,True,0.7370912499677594
Shikimic_acid,20.444627111302726,2.635264052528371e-06,1.2479390926436005e-05,True,1.6202915762337364
5-Aminopentanoic_acid,20.40805515286316,2.670557576126273e-06,1.254286468131438e-05,True,0.3889198307925742
Galactaric_acid,20.190606165401544,2.891441768113104e-06,1.3469887261209827e-05,True,1.409906576249831
Phenylethylamine,19.525789801247573,3.7013194286401687e-06,1.7103677682345298e-05,True,1.5483333790359284
Deoxyinosine,19.456885407736806,3.7986022506865438e-06,1.7412792717147118e-05,True,1.4305566228433464
(S)-2-Phenyloxirane,19.1196527571586,4.317094797467649e-06,1.9632502531340974e-05,True,1.5666086640308685
Anisomycin,19.051275505912894,4.431444014456623e-06,1.9993837954989332e-05,True,1.5419760233760793
Daidzein,18.980709842471104,4.552955079028642e-06,2.0381587970964156e-05,True,1.6102241990850714
Antiarol,18.736389388456605,5.002820494778545e-06,2.2221830569830282e-05,True,1.4183229577960872
Imidazol-5-yl-pyruvate,18.569176285957774,5.3388088702608716e-06,2.3531826789688303e-05,True,1.5989298233410294
"1,5-Naphthalenediamine",18.428761729631784,5.640159592229488e-06,2.4670316384332035e-05,True,1.6424304001380707
N-Acetyl-D-tryptophan,18.390918775271256,5.724541566037945e-06,2.484971452530108e-05,True,1.4756435996370387
3-Methyladenine,18.350151147480165,5.817001006182553e-06,2.506121486122258e-05,True,1.239279209686873
D-Mannonate,18.183950128115587,6.211299359405711e-06,2.6560257708503527e-05,True,1.2228250295105205
Indoleacetaldehyde,18.140198940909038,6.319918411624739e-06,2.682454259156278e-05,True,0.4061190888078771
N5-(L-1-Carboxyethyl)-L-ornithine,18.085261596884052,6.459276724958043e-06,2.7112513074123186e-05,True,1.539048697555044
Amino_acid(Arg-),18.07627278151281,6.482398413882856e-06,2.7112513074123186e-05,True,1.4205446825478345
Linoleic_acid,17.724295532185295,7.463432249885569e-06,3.0989468689742254e-05,True,1.2436855206424842
Dihydrofolic_acid,17.610291791709045,7.81532710780703e-06,3.221713980412538e-05,True,1.284716391673781
Kynurenic_acid,17.443008817481655,8.365145777271157e-06,3.423734664554552e-05,True,1.103853608281726
Luteolin,17.404077576056018,8.499116883426922e-06,3.4538964356054085e-05,True,1.5231505116035788
"3,4-Dihydroxymandelic_acid",17.235559696813667,9.106860837258404e-06,3.674810746302159e-05,True,1.3782411751664716
Ibuprofen,16.79366472977378,1.093992595260625e-05,4.383620678911455e-05,True,1.61295594896189
all-trans-Retinoic_acid,16.74093914303623,1.118446195283414e-05,4.450483818731918e-05,True,1.2421589910997277
D-Octopine,16.599380544095414,1.1871238527190887e-05,4.6911859835037085e-05,True,1.5963832511911278
Creatinine,16.349125499179323,1.3201640711298828e-05,5.181191868201526e-05,True,1.4656607721273307
Enterolactone,15.395122994584733,2.000277721520207e-05,7.797000914497133e-05,True,1.3968030947669134
4-Hydroxy-3-methoxy-cinnamoylglycine,15.004772748052352,2.383035024598917e-05,9.226209926318782e-05,True,1.0706212714880927
N-Acetylserotonin,14.944764282486767,2.448713924239816e-05,9.416866299257815e-05,True,1.5915805408552357
3-Methyl-L-tyrosine,14.515229900576811,2.9812479377159345e-05,0.0001138836712207487,True,1.5841116295466655
8-Hydroxyquinoline,14.111319509241003,3.600059050439601e-05,0.00013661151231138355,True,0.889976862673811
Oxoadipic_acid,13.493826635979918,4.836929125402809e-05,0.00018233949926682954,True,1.552756766452661
Benzoylecgonine,13.436875328617319,4.972676721277873e-05,0.0001862316183851125,True,1.4732463702580567
(S)-beta-Tyrosine,13.401177001734117,5.0598980124867496e-05,0.00018826763384122776,True,1.2057430469570023
Biotin,13.379342934897867,5.114072741157196e-05,0.0001890557213343918,True,0.6524328091539399
24-Methylenecycloartanol,12.916055072055137,6.427947096891388e-05,0.00023610344144351058,True,1.051494506113284
Phosphohydroxypyruvic_acid,12.744280505506477,7.006002846558921e-05,0.0002556967917884243,True,0.32317390470946733
Melibiose,12.645801833031028,7.363005362799117e-05,0.00026702544765087936,True,1.0758123020678945
Porphobilinogen,12.420177636318542,8.258694525317337e-05,0.0002976246517614361,True,1.5282049410744472
Nicotine,12.206913110529728,9.216417423132902e-05,0.00032801286853758715,True,1.4801998958577558
5-Amino-2-oxopentanoic_acid,12.207400962947192,9.21409194484599e-05,0.00032801286853758715,True,1.3553091035671347
N-Acetyl-D-phenylalanine,11.95820968614636,0.00010490379601483313,0.00037104861183024306,True,1.3104402708373235
Sphinganine,11.934166843063815,0.00010623443489506164,0.00037344988463110625,True,1.1839710996503032
myo-Inositol,11.8419426476644,0.00011151323897362648,0.00038961637763346326,True,1.4808375422846183
Bilobalide_A,11.776535497098974,0.00011543159527435796,0.00040086244904367945,True,1.389603445946231
DHHA,11.71633477175173,0.0001191720494110072,0.00041058460989215856,True,1.335658481733757
Quercetin,11.708567498610504,0.00011966427548340398,0.00041058460989215856,True,1.4869660023584517
Hydroxyphenyllactic_acid,11.306240089783048,0.00014849006347108555,0.0005034603927155741,True,1.495339275318048
"2,6-Dimethylaniline",11.31401376933476,0.00014786564539083475,0.0005034603927155741,True,1.119418308648131
Quinate,10.673190003674781,0.00021054328739611794,0.0007096547275175034,True,0.21704382889529766
"(1R,6S)-6-Amino-5-oxocyclohex-2-ene-1-carboxylate",10.549192086534466,0.00022576922102216738,0.000756524933600596,True,1.1287514650203614
allopurinol,10.386233253388987,0.0002476481559168103,0.0008250139147693737,True,0.8513227065615535
PGA1,10.369302324873248,0.00025005163562463934,0.000828205706433054,True,1.3310265768308491
Phenylacetaldehyde,10.295472068513359,0.0002608360808328929,0.0008589601972255612,True,1.0814791545324476
L-Cystine,10.028111451674064,0.0003043817003693361,0.0009966326532093118,True,0.5111311488945814
Brevianamide_F,9.880849009739409,0.00033173320335617876,0.0010800177586539228,True,1.3656451081299823
3-Dehydroshikimate,9.794668127122735,0.00034898446112186464,0.0011291642433572213,True,1.13305356332532
Tryptophanol,9.786016246008536,0.00035077004418426766,0.0011291642433572213,True,1.213776783459137
N(omega)-Hydroxyarginine,9.704157137916306,0.0003681696172249326,0.0011785541378205942,True,1.1809971054977388
trans-Isoasarone,9.476201022219948,0.0004218223904016137,0.0013428012761118036,True,0.9506640580577562
