Metabolite,F_statistic,p_value,p_adjusted,Significant,VIP_Score
L-Aspartic_acid,3.7059866195353006,0.02864016138724887,0.06100673782488328,False,0.8883391291217421
Diphenylamine,3.597702930398552,0.03156934222888597,0.06699715961908023,False,0.22471226522664506
1H-Indole-3-acetamide,3.5710099538374123,0.032340420295367864,0.06838029826289958,False,0.7188459309853401
Diaminopimelic_acid,3.5642014104404307,0.03254035753464416,0.06840959124842456,False,0.7436684903858267
N-Acetyl-D-glucosamine,3.562414574023488,0.03259305132778343,0.06840959124842456,False,1.1295988722514356
Anabasine,3.425761341327307,0.036911200909542224,0.07719021212104998,False,0.5917675841799156
Azelaic_acid,3.3813050112933825,0.038446891920002786,0.08001630256937332,False,0.8234071800714139
Selegiline,3.3786186786466024,0.03854188396011699,0.08001630256937332,False,0.16918439632767449
Kaempferide,3.3727620086074928,0.03874986704155894,0.08015766720149195,False,0.8641186300580868
L-Ribulose,3.347072857868171,0.039676638426368774,0.0817795461090263,False,0.9085165536267967
4-Hydroxycinnamic_acid,3.2039084106407336,0.04530200937408933,0.09303961065001143,False,0.9992114010869123
2'-Deoxyguanosine,3.175152298432546,0.04653300739564017,0.09522647584893505,False,0.7340066636466809
"3,4-Dihydroxyhydrocinnamic_acid",3.158555364386899,0.04725994786872158,0.0961674789286516,False,0.770101378321231
Enalaprilat,3.157004578562896,0.04732849748321074,0.0961674789286516,False,0.8801282243011336
Pyrrolidonecarboxylic_acid,3.1410500315662686,0.048040024612110425,0.09709044267242942,False,1.063134423767567
Thymidine,3.139236892251922,0.048121615565392586,0.09709044267242942,False,0.8203631780803591
D-Alanyl-D-serine,3.1214237939607856,0.0489312276342055,0.09837752082245527,False,0.5958484332570172
6-Hydroxyhexanoic_acid,3.044757780116006,0.05258793237828574,0.10535973864600605,False,0.9148636346394884
Nalpha-Methylhistidine,3.023882812870904,0.053634066854468025,0.10708125542721317,False,0.1726262265034901
(S)-3-Methyl-2-oxopentanoic_acid,3.0197503810257613,0.053843817744480084,0.10712676238745517,False,1.0467955577086947
L-Methionine,2.932618874845696,0.058479365373222195,0.11594697702026409,False,0.68124825829038
gamma-L-Glutamyl-D-alanine,2.8953029300185547,0.06059499416003202,0.1197273505299943,False,1.0533697349101037
5-Hydroxymethyl-2-furancarboxaldehyde,2.8286371193705073,0.06458320552207103,0.12716899231665532,False,0.2157947749116038
Prephenate,2.8241431988874064,0.06486205977334972,0.12728068578811433,False,1.0133385446757037
"4,5-Dihydroorotic_acid",2.783747997138548,0.06742775970198539,0.13161482031661767,False,0.7161078970887158
Erythritol,2.7821710062791842,0.06753011723051587,0.13161482031661767,False,0.8855099379492947
N-Alpha-acetyllysine,2.7341709280455153,0.07072721521910307,0.13737862481541036,False,0.5804166004600038
(Z)-4-Hydroxy-6-dodecenoic_acid_lactone,2.716695390821094,0.0719313883516795,0.13877671894111904,False,1.0300099414250523
Deoxyribose,2.7194921625623394,0.07173719782209555,0.13877671894111904,False,0.7049581189480923
2-Keto-6-acetamidocaproate,2.6994032514413084,0.0731446939346912,0.14064399202878541,False,0.17052052549384844
Gulonic_acid,2.6684414061639536,0.0753725595293605,0.14444306558636644,False,0.6874775402363292
(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate,2.6591521814417676,0.07605513420111358,0.14526530632412693,False,0.9196414799542761
Adenine,2.6012636739581687,0.08046157246890996,0.1531710333046027,False,0.7056630394043547
2-Aminophenol,2.5922448246152543,0.08117246267009379,0.15401265268199915,False,0.6889036152386692
2-Oxoarginine,2.570119794080417,0.082945183993316,0.15645794988172199,False,0.5830714077824486
Imidazoleacetic_acid,2.569353050785313,0.08300735909955234,0.15645794988172199,False,0.4442699121336295
Isoquinoline,2.5583891702228336,0.08390191959592892,0.15762557353595827,False,0.9714221547175795
Acetylcysteine,2.516305830109408,0.0874329720696872,0.16372252613049268,False,0.9119937689375761
Schaftoside,2.50477553916826,0.08842805846781156,0.16504650652135514,False,0.2747132351212183
"3,4-Dihydro-2H-1-benzopyran-2-one",2.4914067362350774,0.08959705809062292,0.16668543599326927,False,0.7535103480127839
1-Deoxynojirimycin,2.46833476113348,0.09165372371799058,0.16995981776831265,False,0.8484167107939647
Tetrahydropteridine,2.437195957452108,0.09451017126927662,0.17469138108805,False,0.22832565002299532
O-Phosphoethanolamine,2.4314284793216645,0.09504964079513958,0.17512361471258836,False,0.10906290755087827
Ciliatine,2.425487139832998,0.09560882680777447,0.17558928769504734,False,0.9473404912212896
"2,5-Dihydroxybenzoate",2.420955950646423,0.09603766286916655,0.17581335726527936,False,0.7032618123062746
Indole,2.4062011597626554,0.09744841791869437,0.17782784543761743,False,0.2444528146660501
Salicylic_acid,2.400846602929278,0.09796586385500651,0.1782045713933928,False,0.805279625577825
(S)-2-amino-6-oxohexanoate,2.395249134501401,0.09850993296480345,0.17862718857225438,False,0.775461258893204
N-Acetylhistidine,2.3737868016461046,0.1006262464927998,0.18188908277720595,False,0.347180507115103
"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",2.3590603478974126,0.10210650094569772,0.18398435547762512,False,0.7896691505499287
L-Glutamic_gamma-semialdehyde,2.3436562727805734,0.10367984591064917,0.18619081972645724,False,0.7941803837768423
Mexiletine,2.340737172702317,0.10398091154008082,0.18619081972645724,False,0.7017770363844096
4-Acetamidobutanoic_acid,2.3096056399432525,0.1072505261484485,0.19109015699908685,False,0.613424011695062
L-Malic_acid,2.3083564482069323,0.10738399747592664,0.19109015699908685,False,0.5440309276195718
m-Coumaric_acid,2.3018680155317246,0.10808012469866257,0.1917334719886491,False,0.8508643631783152
N(6)-Methyllysine,2.271407570306588,0.11141324962707877,0.19691210544477505,False,0.5209313645184013
Glycitein,2.2689526454540974,0.11168662176187068,0.19691210544477505,False,0.7134754109150463
Xanthoxylin,2.2223017211016085,0.11701999398509426,0.20568238206582518,False,0.8842919373074367
Ergothioneine,2.2090642304917054,0.11858241523627158,0.20736260727240297,False,0.9388824706628264
trans-Cinnamate,2.208077959441342,0.11869971236535456,0.20736260727240297,False,0.09289858270558032
"3,4-Dihydroxybenzeneacetic_acid",2.175450550450675,0.12265068927377737,0.21306624763767554,False,0.5209016056364477
2-Hydroxy-6-pentadecylbenzoic_acid,2.1734247396332522,0.12290058157536526,0.21306624763767554,False,0.1690046039186987
D-Arabinose,2.1719717061867247,0.12308015352193823,0.21306624763767554,False,0.24847539168768878
Dodecanedioic_acid,2.1237221319975026,0.12920463768500856,0.2229947511852708,False,0.503119370403472
L-Homoserine,2.0998354658247287,0.13235597427992657,0.22774766745464842,False,0.896396929588772
Labetalol,2.093694602503038,0.13317927234644678,0.22847821273806587,False,0.578566767852673
Uracil_5-carboxylate,2.0796675430204883,0.13508035571387447,0.23104789201208978,False,0.414845225028598
N(alpha)-Benzyloxycarbonyl-L-leucine,2.0742669782271967,0.13581996500863963,0.2316215474700908,False,0.9316236470393959
Deoxycytidine,2.045271862021872,0.1398651007187528,0.23781217421912565,False,0.8667446577919232
Resveratrol,2.038981542190088,0.14075944229489074,0.2386247350147112,False,0.7225202881647048
Tris(butoxyethyl)phosphate,2.0264142103684164,0.14256446072799386,0.24097178760218432,False,0.42711898454391867
D-Proline,2.0231097903157345,0.14304313420041906,0.24106975263776506,False,0.33717330434536813
1-Aminocyclopropanecarboxylic_acid,2.0128574057646382,0.14453916131964778,0.24287665523800053,False,0.6748380964352457
L-Cystathionine,2.001512294005251,0.1462139991565182,0.24497257753416646,False,0.7741761329070339
2-Isopropyl-3-oxosuccinate,1.970081616247704,0.15096232202170703,0.25219070121993625,False,0.788665117778162
Catechol,1.9637329576461813,0.15194110874806216,0.25308795149023144,False,0.4180348533007438
2-Oxo-4-methylthiobutanoic_acid,1.9555304425084938,0.15321566670114728,0.2544712377384272,False,0.441233910848983
Cuminaldehyde,1.9421978066524814,0.15531157611061552,0.2568610811443899,False,0.2070850587200435
Lichenin,1.9406861009850003,0.15555112592862702,0.2568610811443899,False,0.7818674765966298
Epiandrosterone,1.9330254337247732,0.15677108270158127,0.2581316965172588,False,0.3103757230595128
Indole-3-acetate,1.9128034309402562,0.16004027472781632,0.2612623288291702,False,0.3743296805728296
gamma-Glutamyltyramine,1.9135973389810534,0.15991057789673643,0.2612623288291702,False,0.7150212858622929
D-Fructose,1.9181533011316332,0.15916843720719148,0.2612623288291702,False,0.1461088535212044
Histamine,1.9057784698951776,0.16119276210365308,0.2623961724016853,False,0.564370642217179
L-Arogenate,1.8952522685260773,0.16293608622589567,0.26448265554515077,False,0.39554166075385155
L-2-Hydroxyglutaric_acid,1.8810410379064666,0.16532135891669653,0.26759643689058504,False,0.49847372569641735
L-beta-Phenylalanine,1.870741449838985,0.1670731006619995,0.2696701033220443,False,0.4493516879203322
Homovanillic_acid,1.8620258116200827,0.16857073953335086,0.27132312851856755,False,0.4152605177956999
(3R)-beta-Leucine,1.832060547494096,0.17382866480238493,0.27900231073323967,False,0.2606208831400113
D-Mannose,1.8241234027675253,0.17525011941974875,0.2804980961662459,False,0.6905749007064048
D-Arabitol,1.7898743878111494,0.1815254574681174,0.28973283322905646,False,0.6977616832768563
Uric_acid,1.7734359120643712,0.18462091091491895,0.29385494987291266,False,0.5449276594629702
Taurine,1.767510406540739,0.18575026682874046,0.29483352601902574,False,0.6430226649434995
Dodecanoic_acid,1.7420483456866844,0.19068628945301747,0.3014808108212756,False,0.6094322761684201
L-Valine,1.7405019826519024,0.19099046130562483,0.3014808108212756,False,0.6823303660506206
N-Acetyl-beta-alanine,1.686823960503785,0.2018702988231106,0.31777934402649005,False,0.05465509377654256
2-Hydroxy-3-oxoadipate,1.6631379922367742,0.20687544730128413,0.324766113160646,False,0.5749463474748611
Phosphoglycolic_acid,1.6537630818842106,0.20889212482673897,0.32703603149104216,False,0.40446333195563966
Alpha-dimorphecolic_acid,1.6427610014222849,0.21128501467696176,0.3298809629697523,False,0.7855404108132992
Quinic_acid,1.6383868598267888,0.2122442902987341,0.33047820201406153,False,0.7835057808999587
2-Pyrocatechuic_acid,1.632451530077164,0.21355320827566257,0.3316151445581427,False,0.7296841168978061
O-Acetyl-L-homoserine,1.622970999208208,0.21566142188591367,0.3334863532259757,False,0.6933539571179841
6-Hydroxynicotinic_acid,1.6196834274594516,0.21639754048598583,0.3334863532259757,False,0.35017619277744416
Gluconic_acid,1.6192079118015719,0.2165042293194816,0.3334863532259757,False,0.3547391818967141
(S)-3-Hydroxy-N-methylcoclaurine,1.6163136709765569,0.2171547761861964,0.3335916534978299,False,0.8153405784833557
Neocnidilide,1.5803304439455885,0.22541474029550215,0.3453546689554084,False,0.745265791358014
2-Furoate,1.573869900183438,0.22693199802290093,0.3467520929789926,False,0.6592471426152704
5'-Methylthioadenosine,1.5478906113229407,0.23314100160079623,0.35529200509908576,False,0.5036808277248127
Galactitol,1.545013138626634,0.23383946214511778,0.35541117190756627,False,0.5206814579536342
4-Hydroxyphenylpyruvic_acid,1.532890617956044,0.23680588831570062,0.35896765609760967,False,0.25388426786193247
Isopyridoxal,1.520870754607678,0.2397856580585835,0.36252554635242307,False,0.748960195002273
beta-Alanyl-L-lysine,1.5139508207701962,0.24151869542059154,0.36418476967368146,False,0.1311297379994812
Uracil,1.4958746164185002,0.24610703698055092,0.36947680076397516,False,0.7976713248533682
Dolichotheline,1.4950524116468564,0.24631786717598342,0.36947680076397516,False,0.4208902896279768
Umbelliferone,1.4570552070509664,0.25626704457848615,0.38339691003517645,False,0.1198595094451264
Phloretin,1.4516384617717473,0.2577186903530613,0.3835300229103655,False,0.1031630262078166
Myristic_acid,1.451067597724042,0.25787216916013156,0.3835300229103655,False,0.8020956958915819
Methyl_beta-D-galactoside,1.4492404751071883,0.2583640293951153,0.3835300229103655,False,0.6351568225233805
epsilon-(gamma-L-Glutamyl)-L-lysine,1.4366916528556695,0.26176831361618547,0.3875794410906312,False,0.3472887678226981
"N-Methyl-(R,S)-tetrahydrobenzylisoquinoline",1.423041155863484,0.2655237947661953,0.3919421599985707,False,0.3543385354072309
Genistein,1.4194415805065008,0.26652327551444166,0.3919421599985707,False,0.7161176074794429
Pyroglutamic_acid,1.4185662232380827,0.26676691518227325,0.3919421599985707,False,0.5512951941801744
3-Indoleacetonitrile,1.407459377848977,0.26987819438367217,0.39549924650088014,False,0.7120558613178617
L-Kynurenine,1.3954650028630236,0.27327983893366753,0.39946262170661095,False,0.624028376002157
Metoclopramide,1.3824527880620727,0.27701976384914967,0.403899045001432,False,0.704517559948952
5-(2-Hydroxyethyl)-4-methylthiazole,1.3760692529360905,0.2788735736093982,0.4055699433456476,False,0.19517644607013634
N-Acetylputrescine,1.3635055097462623,0.2825592110387091,0.40988969094982364,False,0.7839451478094661
L-Threonine,1.3575469122133879,0.28432452107393735,0.41140896609940936,False,0.3998920244851921
Harman,1.3543011430860277,0.2852908445627999,0.4117673902631847,False,0.22896029260079925
Nonadecanoic_acid,1.3497062619107747,0.2866645442951787,0.4127105122641643,False,0.6818700645177318
Estrone,1.336545427939291,0.29063651267957563,0.4165142847627305,False,0.5483146594167234
L-Prolinamide,1.3361378561392794,0.2907604082113302,0.4165142847627305,False,0.30932216516528316
Sorbitol,1.3240242087448948,0.29446736916367516,0.42077257488974035,False,0.6437135595313831
Glutaric_acid,1.3126325296261936,0.29799715856507064,0.42475714392483954,False,0.5147412717711881
Phenylbutazone,1.3022352513348043,0.30125625503463804,0.4279181435619235,False,0.4500970643752112
Ricinoleic_acid,1.3008017153369666,0.30170842931765635,0.4279181435619235,False,0.5228296708966272
Mesaconate,1.2601911868979052,0.31480698340810254,0.44539358393294504,False,0.6275433386825666
Salicyluric_acid,1.2429489520223558,0.32054027688872067,0.4523881247715196,False,0.14940539659665628
Nalidixic_Acid,1.2390562374882166,0.3218491176041889,0.45311927367862465,False,0.5646543918952379
Mannitol,1.2159568637967835,0.3297268309459751,0.4630722405197151,False,0.4082454357053301
alpha-D-Mannose,1.2091608408017538,0.33208107658880726,0.46399213109571114,False,0.5963999187203354
Styrene_Oxide,1.2086814368586372,0.33224778276433065,0.46399213109571114,False,0.7459223192991056
Ornithine,1.207063231129192,0.3328111097388085,0.46399213109571114,False,0.3020214442424771
Indole-3-carboxylic_acid,1.1998046830577491,0.33534970720433416,0.4663965588060278,False,0.6409228204322679
4-Amino-4-deoxychorismate,1.1738656300375867,0.34458046469169246,0.4780741071872634,False,0.6559273581772694
Mannobiose,1.1681744368024543,0.34663934227669807,0.47976894474528503,False,0.32373718424220543
Cholesterol_sulfate,1.1633646050845095,0.3483888988814142,0.4810285278531334,False,0.1780669841124445
Tryptamine,1.144286644075768,0.35541510970835355,0.4895501390934774,False,0.514170269882116
Succinic_acid,1.1338866280417412,0.3593042086425561,0.4937201715879727,False,0.5393653321252054
Arachidic_acid,1.1281215953960027,0.3614781280075489,0.4955190606419271,False,0.5507685463207829
Guanidoacetic_acid,1.1215235557034298,0.36398208858623676,0.4977607082575505,False,0.711290930751476
4a-Carbinolamine_tetrahydrobiopterin,1.1066944043320264,0.36967226298457584,0.5032872136331469,False,0.3588544824651953
N-Acetylhistamine_,1.1064159057378695,0.369779959754895,0.5032872136331469,False,0.1829372179604769
"meso-2,6-Diaminoheptanedioate",1.0988382830027263,0.3727221163001732,0.5060895086255907,False,0.5022211997771293
Indolepyruvate,1.0721185692280824,0.3832807198204772,0.5191958686929868,False,0.1994752505292048
Diisobutyl_phthalate,1.0617115296954796,0.38747175406094686,0.5236351770682135,False,0.14311030447713596
alpha-Ketoisovaleric_acid,1.0579423085422268,0.38900064490211705,0.5244643988915602,False,0.7039377606088183
Practolol,1.054499814011694,0.3904021329038794,0.5251183618636688,False,0.3890669670116832
L-Phenylalanine,1.0491337461634296,0.39259652491706293,0.5268332758254732,False,0.2746940616442584
L-Glutamic_acid,1.0431803667166113,0.3950451014017034,0.528880474540131,False,0.2846217406278317
D-Glycero-D-galacto-heptitol,1.0362441566245422,0.39791658065564917,0.5314829853512517,False,0.6096217460435459
gamma-Glutamylcysteine,1.0134071726250957,0.407513988963645,0.5355631093490105,False,0.5053894147228924
Vanillylmandelic_acid,1.0144249096522882,0.40708156577926574,0.5355631093490105,False,0.15701000757755865
"12,13-DHOME",1.0156629755396864,0.40655612326723817,0.5355631093490105,False,0.12670941890736065
L-Theanine,1.0224672406560782,0.4036799962152565,0.5355631093490105,False,0.6717395563307852
4-Oxoglutaramate,1.0189393697424007,0.4051687519516953,0.5355631093490105,False,0.3141194639792839
Cadaverine,1.0215492602832252,0.40406687392770485,0.5355631093490105,False,0.40441925073670487
4-Aminophenol,1.0180938138533426,0.40552636067317177,0.5355631093490105,False,0.40527667024223823
Isoniazid,1.0094420327526459,0.4092029444576655,0.5365521445634835,False,0.2825459581212221
m-Cresol,0.9892194741571557,0.4179218409114771,0.546733367219809,False,0.5405013725966952
Dimethylglycine,0.9834683660319705,0.4204337264858826,0.5487665723836236,False,0.5924308310686001
5-Methylbarbiturate,0.9808479875034523,0.4215829935053209,0.5490160347239748,False,0.3781920442952272
Sotalol,0.9717544704022204,0.42559458521625027,0.5517323468979897,False,0.6656049102274961
Iminoarginine,0.9723376071962703,0.42533624787834234,0.5517323468979897,False,0.3933493867663418
Desaminotyrosine,0.9649596737579943,0.42861579305889075,0.5543946939565336,False,0.2784822483919508
3-Hydroxypicolinic_acid,0.9617966021749478,0.4300291483743328,0.5549700495911998,False,0.520203988907549
2-Deoxystreptamine,0.9351958295617587,0.44209101225313685,0.5692542697102189,False,0.07068756265166225
Adipic_acid,0.9237116706605576,0.44739635719741755,0.5747939746056507,False,0.6687125246196988
4-Pyridoxic_acid,0.9115703223068863,0.45307019344352284,0.5807812546826366,False,0.640634105265797
Leucine,0.8771776153609021,0.46950838074388923,0.5986850129335005,False,0.2924808701075745
3-Methyl-2-oxovaleric_acid,0.879985170400631,0.46814606059032027,0.5986850129335005,False,0.6264590500759917
L-Arabinose,0.8758137845582519,0.4701714761257858,0.5986850129335005,False,0.05671603071532313
1-Pyrroline-4-hydroxy-2-carboxylate,0.8649541981566897,0.4754822588668858,0.6041049541701231,False,0.46692552805650867
4-Hydroxybenzoic_acid,0.853989148607525,0.4809004257398496,0.6096370441348093,False,0.3249204285699308
Palmitoleic_acid,0.8515907782516979,0.4820930356005242,0.609799799998014,False,0.19286361662850798
Gabapentin,0.8310731954106969,0.49240615307589675,0.6198735666480913,False,0.4110140667480425
Dehydroepiandrosterone,0.8295380424595349,0.49318578225554055,0.6198735666480913,False,0.6081690053208805
1-Pyrroline-2-carboxylic_acid,0.8293083569095755,0.4933025242435072,0.6198735666480913,False,0.2500900009410383
Ribitol,0.8107243623190237,0.5028311229401458,0.6293263758205601,False,0.3413535286957714
Cyanuric_acid,0.810355754955443,0.5030217803242871,0.6293263758205601,False,0.5479959851982427
"trans-1,2-Cyclohexanediol",0.8062093173523057,0.5051709333415915,0.6306382239754508,False,0.11064836193833465
Mefenamic_acid,0.7933662003293032,0.5118797840332545,0.6334926916869436,False,0.5341870072888908
Dibutyl_phthalate,0.7934132529558566,0.5118550612005921,0.6334926916869436,False,0.2776547765132222
Epsilon-caprolactam,0.7968374382704135,0.5100587385354118,0.6334926916869436,False,0.23707344122649004
"1,2,3-Trihydroxybenzene",0.7946890568989158,0.511185120344577,0.6334926916869436,False,0.5887885092246782
4-Guanidinobutanal,0.779167172851647,0.5193888592224211,0.6414004662380329,False,0.4423734749506133
5-Hydroxypentanoic_acid,0.7754437873930501,0.5213739700115239,0.6420653677141875,False,0.17810398720537807
2-Benzylmalic_acid,0.773957306144681,0.5221683444237546,0.6420653677141875,False,0.5369940847580571
2-Methyl-3-oxopropanoic_acid,0.7659237659185634,0.5264798644856006,0.6459806474309403,False,0.5399718381367201
5-Acetamidovalerate,0.7475417809103502,0.536462316731641,0.6540274627387879,False,0.3035639284681518
Di-2-propenyl_sulfide,0.7498246650538526,0.5352137138772256,0.6540274627387879,False,0.19048670060167192
Hydroxykynurenine,0.7490182323196395,0.5356544974650506,0.6540274627387879,False,0.14498881050317727
alpha-Tocopherol,0.7422744938993081,0.5393528170380948,0.6561553379253254,False,0.369307630692277
3-(2-Hydroxyphenyl)propanoic_acid,0.7254145871365344,0.5486950991475699,0.6661065504482151,False,0.5613009792884086
N-Methylhydantoin,0.7217011794075052,0.5507712161392873,0.6672133337163035,False,0.4662627390316191
p-Octopamine,0.7177568528204364,0.5529837410625544,0.6684803452085311,False,0.5640378948027982
Palmitic_acid,0.7116686505792678,0.556413618232634,0.671210533152209,False,0.30057571696306096
N-Acetyl-L-phenylalanine,0.7079713634101119,0.5585052858192516,0.67231833776141,False,0.4182578040522442
1D-chiro-Inositol,0.7031346179409987,0.5612515562353435,0.6742078442827082,False,0.2143757897733122
Butyryl-L-carnitine,0.6802319565539164,0.5744089140151871,0.687267706797741,False,0.3781994339986208
(2E)-Decenoyl-ACP,0.6800366229552113,0.5745222191206246,0.687267706797741,False,0.5323739443819917
Phenylacetic_acid,0.6772505284414101,0.5761403192007328,0.6873430361224939,False,0.09803315858473424
Citramalic_acid,0.6757998934371356,0.5769842938480272,0.6873430361224939,False,0.3343842508291844
S-Hexyl-glutathione,0.6644308730120365,0.5836337794472473,0.6938218996333458,False,0.388880208194416
4-Hydroxy-3-methoxybenzenemethanol,0.6535569947327255,0.5900516623828688,0.6995333723145649,False,0.21952185766530533
Phenyllactate,0.6521607364855512,0.590879846771814,0.6995333723145649,False,0.22919845439549583
Norepinephrine,0.6490362308772373,0.5927365051559367,0.7002845720708283,False,0.13941945260609886
Vanillic_acid,0.6466441175642078,0.5941611050693731,0.7005232781990758,False,0.23535515277661445
(S)-2-Propylpiperidine,0.6441467729988671,0.5956512832219524,0.7008381628052951,False,0.5298217712424719
"(R)-5,6-Dihydrothymine",0.6134371308586964,0.6142174059195745,0.7212019950654021,False,0.42477670909458054
1-Methylhistidine,0.5796235031026414,0.6351696393497919,0.7268009508825085,False,0.2497342189954379
Senecionine,0.5796514738428548,0.635152090562693,0.7268009508825085,False,0.25659612410476984
(S)-N-Methylcoclaurine,0.5819459689068494,0.6337137408169515,0.7268009508825085,False,0.21588144456054142
Homogentisic_acid,0.5826083011371833,0.6332989905579265,0.7268009508825085,False,0.4152823091780082
9(S)-HPODE,0.585204262587002,0.631675337203181,0.7268009508825085,False,0.19049547552855645
Pyridoxine,0.5853219708473612,0.6316017890839714,0.7268009508825085,False,0.5270477571832614
L-Isoleucine,0.5791366022358778,0.6354751769496279,0.7268009508825085,False,0.4889925171547924
Thymine,0.5895352223120426,0.628973382085426,0.7268009508825085,False,0.2852914681289432
Xanthine,0.5905688640971614,0.6283297951455704,0.7268009508825085,False,0.15366455209557286
"(2'E,4'Z,8E)-Colneleic_acid",0.5989347643809031,0.6231389480345421,0.7268009508825085,False,0.26562130045335947
N6-Acetyl-L-lysine,0.6000433162393489,0.6224535420139895,0.7268009508825085,False,0.14068054113607578
6-Aminohexanoate,0.6009039941854998,0.6219217862482327,0.7268009508825085,False,0.06756321036901608
Inosine,0.588223899447821,0.6297905699144384,0.7268009508825085,False,0.4099858914988459
D-Phenylalanine,0.5755198998759,0.6377480792154901,0.7279475087459679,False,0.15849278844385664
Aminohydroquinone,0.5404250459585976,0.6601069167468765,0.7519707023776546,False,0.10283262164673064
L-Arabitol,0.5353813376505707,0.6633646402608315,0.7541824183917787,False,0.4232025394240948
(E)-3-(4-Hydroxyphenyl)-2-propenal,0.5242798018619031,0.670573407700682,0.7595730798243757,False,0.11798035066962079
4-Hydroxybenzaldehyde,0.5229914095365827,0.6714134009930253,0.7595730798243757,False,0.10981731389235659
"(Z)-But-1-ene-1,2,4-tricarboxylate",0.5219651549804382,0.6720829868603115,0.7595730798243757,False,0.3643169283227604
Pyrrole-2-carboxylic_acid,0.5103731416329212,0.6796766946831202,0.7666432008925745,False,0.4529114094814134
3-Methoxyanthranilate,0.49279198050108325,0.6912982886488286,0.7782198809347324,False,0.35157789973485737
L-Tyrosine,0.4884672171078185,0.6941758899373736,0.7799270292825785,False,0.47985938056063254
"L-2,4-diaminobutyric_acid",0.4852834513880452,0.696298948803761,0.7807814044316145,False,0.15356424521533335
(-)-Bornesitol,0.4798872332274396,0.699906264027309,0.7832935337649376,False,0.35680982237757347
(3S)-6-Acetamido-3-aminohexanoate,0.47670416772770235,0.7020393063839225,0.7841491667797029,False,0.25405935131455615
Hydrocinnamic_acid,0.47256085318583635,0.7048215384078216,0.7857251780305092,False,0.13579718728964005
6-Acetyl-D-glucose,0.4654650603204194,0.7096011285203029,0.7895173721206477,False,0.30742652160765443
16-Hydroxy_hexadecanoic_acid,0.4608938555529924,0.7126899169988605,0.7914172915510603,False,0.3002318222203398
13S-hydroxyoctadecadienoic_acid,0.45064904152903434,0.7196393516444357,0.797588681803214,False,0.293022415086553
3-Hydroxy-5-methyl-L-tyrosine,0.44834005263655025,0.7212106648371581,0.7977870867793274,False,0.1259133961910929
"7-Isopropyl-1,4-dimethylazulene",0.44568398933047504,0.7230204177704709,0.7982479756887858,False,0.04200487921520684
L-Proline,0.43820065300821137,0.7281320320609145,0.799271368526636,False,0.17118553175262605
2-Hydroxyphenethylamine,0.44016073792566596,0.726791370534029,0.799271368526636,False,0.24558591975801555
Cytidine,0.43836331704750475,0.7280207249648588,0.799271368526636,False,0.3132808228780782
Urocanic_acid,0.42926406977768855,0.7342602312182241,0.8044571940497944,False,0.21602909908557
Niacinamide,0.4248938380286162,0.7372662630347464,0.8052012521963708,False,0.42668014296015705
3-Hydroxymethylglutaric_acid,0.4215510333636127,0.7395695424118978,0.8052012521963708,False,0.33018323409634237
"(S)-2,3,4,5-tetrahydropyridine-2-carboxylate",0.42147893972824996,0.739619254056322,0.8052012521963708,False,0.3377641467003368
Aminoadipic_acid,0.4186884154273522,0.7415446350434882,0.8052012521963708,False,0.14897454208683492
5-Hydroxyindoleacetic_acid,0.4180788121565211,0.7419655517621009,0.8052012521963708,False,0.28720091656175034
Dethiobiotin,0.40451917210508737,0.7513557902643225,0.813850411760788,False,0.224013334836905
12-Hydroxydodecanoic_acid,0.3876205633351245,0.7631274591753232,0.8250415737876607,False,0.13991029517908354
L-Erythrulose,0.3788851742745931,0.7692398093353726,0.8279794640404665,False,0.13253315372105604
L-Iditol,0.37839768622057424,0.7695814216265882,0.8279794640404665,False,0.20917151757362604
Stearic_acid,0.3775438932716304,0.7701798504948842,0.8279794640404665,False,0.22954060282971284
Metanephrine,0.3695099685988723,0.7758183990138778,0.8314884560950655,False,0.21636159004311012
Metyrapone,0.3687590226070291,0.776346115202199,0.8314884560950655,False,0.09435091113840599
7-Mercaptoheptanoylthreonine,0.3639513131829161,0.779727235930458,0.8335516906495382,False,0.11205658013911356
L-Leucine,0.358593424044941,0.7835002877438912,0.836025446698789,False,0.2464385170694732
11-Dehydrocorticosterone,0.34811466663515955,0.7908932968698175,0.8423454630230583,False,0.05365542271500885
Fructose-1P,0.34393808503086,0.7938445342547107,0.8439200707383102,False,0.1579154260783106
Isonicotinic_acid,0.3370644558422256,0.7987064597354002,0.846772157567858,False,0.09564602808947768
Cyclohexylamine,0.33498517614749845,0.8001782847640306,0.846772157567858,False,0.06238950483331532
N-Carbamoylputrescine,0.3338800372357629,0.8009607493922845,0.846772157567858,False,0.31858207119363025
Guanosine,0.3301705886732608,0.8035880218003945,0.8479851500766594,False,0.25105391672566246
"2',4'-Dihydroxyacetophenone",0.3250556907200894,0.8072127576044102,0.8492709848953879,False,0.18530092160529446
"2,3-Butanediol",0.324268449379976,0.8077708320558227,0.8492709848953879,False,0.22615542785984513
p-Anisic_acid,0.31997565665062944,0.8108147432982576,0.8509099778569627,False,0.15986776389246665
"N6,N6,N6-Trimethyl-L-lysine",0.3096930461524328,0.8181098109520148,0.8569962005036645,False,0.12365035206345275
